staff_id,first_name,last_name,email,phone,active,store_id,manager_id,extract_time,source
1,Fabiola,Jackson,fabiola.jackson@bikes.shop,Not available,1,0,0,1714319416.80119,csv
2,Mireya,Not available,mireya.copeland@bikes.shop,(831) 555-5555,1,1.0,1.0,1714319416.80119,csv
3,Genna,Serrano,genna.serrano@bikes.shop,(831) 555-5556,1,1.0,2.0,1714319416.80119,csv
4,Virgie,Wiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,1.0,2.0,1714319416.80119,csv
5,Jannette,David,jannette.david@bikes.shop,(516) 379-4444,1,2.0,1.0,1714319416.80119,csv
6,Marcelene,Boyer,Not available,(516) 379-4445,1,2.0,5.0,1714319416.80119,csv
7,Venita,Daniel,venita.daniel@bikes.shop,Not available,1,2.0,5.0,1714319416.80119,csv
8,Kali,Vargas,kali.vargas@bikes.shop,(972) 530-5555,1,3.0,1.0,1714319416.80119,csv
9,Layla,Terrell,layla.terrell@bikes.shop,(972) 530-5556,1,3.0,7.0,1714319416.80119,csv
10,Bernardine,Houston,bernardine.houston@bikes.shop,(972) 530-5557,1,3.0,7.0,1714319416.80119,csv
