customer_id,first_name,last_name,phone,email,street,city,state,zip_code,extract_time,source,local
1,Debra,Burks,Not available,debra.burks@yahoo.com,9273 Thorne Ave. ,Orchard Park,NY,14127,1714319416.005987,csv,False
2,Kasha,Todd,Not available,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008,1714319416.005987,csv,False
3,Tameka,Fisher,Not available,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278,1714319416.005987,csv,False
4,Daryl,Spence,Not available,daryl.spence@aol.com,988 Pearl Lane ,Uniondale,NY,11553,1714319416.005987,csv,False
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820,1714319416.005987,csv,False
6,Lyndsey,Bean,Not available,lyndsey.bean@hotmail.com,769 West Road ,Fairport,NY,14450,1714319416.005987,csv,False
7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,7014 Manor Station Rd. ,Buffalo,NY,14215,1714319416.005987,csv,False
8,Jacquline,Duncan,Not available,jacquline.duncan@yahoo.com,15 Brown St. ,Jackson Heights,NY,11372,1714319416.005987,csv,False
9,Genoveva,Baldwin,Not available,genoveva.baldwin@msn.com,8550 Spruce Drive ,Port Washington,NY,11050,1714319416.005987,csv,False
10,Pamelia,Newman,Not available,pamelia.newman@gmail.com,476 Chestnut Ave. ,Monroe,NY,10950,1714319416.005987,csv,False
11,Deshawn,Mendoza,Not available,deshawn.mendoza@yahoo.com,8790 Cobblestone Street ,Monsey,NY,10952,1714319416.005987,csv,False
12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,486 Rock Maple Street ,Hempstead,NY,11550,1714319416.005987,csv,False
13,Lashawn,Ortiz,Not available,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604,1714319416.005987,csv,False
14,Garry,Espinoza,Not available,garry.espinoza@hotmail.com,7858 Rockaway Court ,Forney,TX,75126,1714319416.005987,csv,False
15,Linnie,Branch,Not available,linnie.branch@gmail.com,314 South Columbia Ave. ,Plattsburgh,NY,12901,1714319416.005987,csv,False
16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,461 Squaw Creek Road ,New York,NY,10002,1714319416.005987,csv,False
17,Caren,Stephens,Not available,caren.stephens@msn.com,914 Brook St. ,Scarsdale,NY,10583,1714319416.005987,csv,False
18,Georgetta,Hardin,Not available,georgetta.hardin@aol.com,474 Chapel Dr. ,Canandaigua,NY,14424,1714319416.005987,csv,False
19,Lizzette,Stein,Not available,lizzette.stein@yahoo.com,19 Green Hill Lane ,Orchard Park,NY,14127,1714319416.005987,csv,False
20,Aleta,Shepard,Not available,aleta.shepard@aol.com,684 Howard St. ,Sugar Land,TX,77478,1714319416.005987,csv,False
21,Tobie,Little,Not available,tobie.little@gmail.com,10 Silver Spear Dr. ,Victoria,TX,77904,1714319416.005987,csv,False
22,Adelle,Larsen,Not available,adelle.larsen@gmail.com,683 West Kirkland Dr. ,East Northport,NY,11731,1714319416.005987,csv,False
23,Kaylee,English,Not available,kaylee.english@msn.com,8786 Fulton Rd. ,Hollis,NY,11423,1714319416.005987,csv,False
24,Corene,Wall,Not available,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301,1714319416.005987,csv,False
25,Regenia,Vaughan,Not available,regenia.vaughan@gmail.com,44 Stonybrook Street ,Mahopac,NY,10541,1714319416.005987,csv,False
26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,8755 W. Wild Horse St. ,Long Beach,NY,11561,1714319416.005987,csv,False
27,Santos,Valencia,Not available,santos.valencia@yahoo.com,7479 Carpenter Street ,Sunnyside,NY,11104,1714319416.005987,csv,False
28,Jeanice,Frost,Not available,jeanice.frost@hotmail.com,76 Devon Lane ,Ossining,NY,10562,1714319416.005987,csv,False
29,Syreeta,Hendricks,Not available,syreeta.hendricks@msn.com,193 Spruce Road ,Mahopac,NY,10541,1714319416.005987,csv,False
